,param,seed,alpha,df,asymmetry,straightness,gaussianity,efficiency,mod_int
0,0.1,1,0.06,3.2,0.0152,0.0013,66.0521,0.0,0
1,0.1,23,0.2,2.96,0.0585,0.0014,78.7416,0.0,0
2,0.1,45,0.03,3.12,0.0335,0.0036,81.9983,0.0,0
3,0.1,67,0.11,3.07,0.0558,0.0045,89.258,0.0,0
4,0.1,89,0.04,3.26,0.0059,0.0027,68.8377,0.0,0
5,0.1,1011,0.1,3.02,0.0093,0.0029,68.3835,0.0,0
6,0.1,1213,0.12,3.24,0.0241,0.0021,70.1443,0.0,0
7,0.1,1415,0.02,3.29,0.0292,0.0001,78.5664,0.0,0
8,0.1,1617,0.09,3.18,0.0151,0.0007,77.6195,0.0,0
9,0.1,1819,0.06,3.33,0.0245,0.0054,83.1505,0.0,0
10,0.1,2021,0.17,3.04,0.0339,0.0047,65.9573,0.0,0
11,0.1,2223,0.16,3.19,0.0269,0.0016,63.5096,0.0,0
12,0.1,2425,0.2,3.15,0.0016,0.0028,79.3694,0.0,0
13,0.1,2627,0.12,3.09,0.0399,0.0037,76.7495,0.0,0
14,0.1,2829,0.04,3.09,0.0301,0.0033,67.1799,0.0,0
15,0.1,3031,-0.0,3.12,0.0365,0.0033,74.5566,0.0,0
16,0.1,3233,0.16,3.12,0.0308,0.0024,72.3681,0.0,0
17,0.1,3435,0.05,3.21,0.0345,0.0018,84.8695,0.0,0
18,0.1,3637,0.16,3.07,0.0554,0.0016,63.4779,0.0,0
19,0.1,3839,0.18,3.15,0.0078,0.0026,70.1842,0.0,0
20,0.1,4041,0.23,3.18,0.0134,0.0028,86.8527,0.0,0
21,0.1,4243,0.1,3.02,0.0273,0.0031,80.2763,0.0,0
22,0.1,4445,0.1,3.31,0.0668,0.0025,72.7839,0.0,0
23,0.1,4647,-0.02,3.2,0.0835,0.0025,60.9007,0.0,0
24,0.1,4849,0.03,3.2,0.01,0.0024,86.5052,0.0,0
25,0.1,5051,0.14,3.06,0.0325,0.0012,75.1275,0.0,0
26,0.1,5253,0.22,3.12,0.0176,0.0006,66.5367,0.0,0
27,0.1,5455,0.03,3.04,0.040999999999999995,0.0064,85.8933,0.0,0
28,0.1,5657,0.07,3.32,0.0119,0.004,80.4131,0.0,0
29,0.1,5859,0.06,3.08,0.0222,0.0022,71.5659,0.0,0
30,0.1,6061,0.22,3.31,0.0408,0.0015,83.2317,0.0,0
31,0.1,6263,-0.01,3.16,0.0421,0.0028,80.5475,0.0,0
32,0.1,6465,0.07,3.3,0.0053,0.0007,77.3313,0.0,0
33,0.1,6667,0.09,2.99,0.0736,0.0043,72.4301,0.0,0
34,0.1,6869,0.09,3.11,0.0272,0.002,62.5022,0.0,0
35,0.1,7071,0.03,3.2,0.0185,0.002,72.6182,0.0,0
36,0.1,7273,0.11,3.26,0.0778,0.0011,62.681999999999995,0.0,0
37,0.1,7475,0.21,3.12,0.0011,0.0017,76.8647,0.0,0
38,0.1,7677,0.02,3.28,0.0952,0.0038,70.8671,0.0,0
39,0.1,7879,0.09,3.12,0.0157,0.0023,76.1729,0.0,0
40,0.1,8081,0.06,3.12,0.0219,0.004,70.9549,0.0,0
41,0.1,8283,0.12,3.2,0.0282,0.006,92.8584,0.0,0
42,0.1,8485,0.01,3.12,0.0079,0.0022,81.5553,0.0,0
43,0.1,8687,0.07,3.15,0.0033,0.0052,87.90299999999999,0.0,0
44,0.1,8889,0.07,3.13,0.0028,0.0008,85.3297,0.0,0
45,0.1,9091,0.06,3.15,0.0054,0.0032,76.3175,0.0,0
46,0.1,9293,0.11,3.19,0.0588,0.0022,76.5099,0.0,0
47,0.1,9495,0.14,3.31,0.0173,0.0012,69.544,0.0,0
48,0.1,9697,0.24,3.12,0.0124,0.002,77.6349,0.0,0
49,0.1,9899,0.05,3.15,0.036000000000000004,0.0026,81.3743,0.0,0
50,0.1,100101,0.1,3.12,0.0424,0.0041,78.0859,0.0,0
51,0.1,102103,0.04,3.18,0.0251,0.0046,64.2146,0.0,0
52,0.1,104105,0.05,3.22,0.0662,0.0002,80.875,0.0,0
53,0.1,106107,0.19,3.14,0.0115,0.0019,71.9506,0.0,0
54,0.1,108109,0.06,3.27,0.0182,0.0032,75.7166,0.0,0
55,0.1,110111,0.02,3.0,0.024,0.0019,88.9738,0.0,0
56,0.1,112113,0.09,3.04,0.0221,0.0021,68.0497,0.0,0
57,0.1,114115,0.15,3.32,0.0014,0.0026,65.2466,0.0,0
58,0.1,116117,0.1,3.08,0.0177,0.001,61.3021,0.0,0
59,0.1,118119,0.17,2.97,0.0128,0.0011,82.18799999999999,0.0,0
60,0.1,120121,0.12,3.08,0.0759,0.0054,71.6465,0.0,0
61,0.1,122123,0.17,3.29,0.0495,0.0019,77.2193,0.0,0
62,0.1,124125,-0.04,3.23,0.0676,0.0027,80.5032,0.0,0
63,0.1,126127,0.01,3.21,0.004,0.0044,69.6544,0.0,0
64,0.1,128129,0.11,3.36,0.0117,0.0021,77.943,0.0,0
65,0.1,130131,0.2,2.8,0.0434,0.0024,78.0555,0.0,0
66,0.1,132133,-0.04,3.28,0.0125,0.0021,90.9121,0.0,0
67,0.1,134135,0.03,2.98,0.031,0.0026,83.5175,0.0,0
68,0.1,136137,0.03,3.18,0.016,0.0033,72.5819,0.0,0
69,0.1,138139,0.14,3.33,0.0356,0.0036,70.1595,0.0,0
70,0.1,140141,0.11,3.28,0.042,0.0017,73.0381,0.0,0
71,0.1,142143,0.12,3.12,0.0156,0.0016,78.6327,0.0,0
72,0.1,144145,0.1,3.14,0.0006,0.0036,91.681,0.0,0
73,0.1,146147,0.12,2.99,0.0505,0.0023,89.1394,0.0,0
74,0.1,148149,0.07,3.21,0.0135,0.004,67.1446,0.0,0
75,0.1,150151,0.14,3.19,0.0149,0.0026,71.3299,0.0,0
76,0.1,152153,0.33,2.93,0.0416,0.0011,69.3716,0.0,0
77,0.1,154155,0.22,3.18,0.0426,0.0065,84.5355,0.0,0
78,0.1,156157,0.04,3.2,0.0036,0.003,62.8872,0.0,0
79,0.1,158159,0.06,3.18,0.0643,0.0026,76.204,0.0,0
80,0.1,160161,0.17,3.24,0.0251,0.0016,70.5294,0.0,0
81,0.1,162163,0.12,3.34,0.025,0.0055,78.2427,0.0,0
82,0.1,164165,0.11,3.28,0.0458,0.0018,72.2333,0.0,0
83,0.1,166167,0.19,3.23,0.0123,0.0022,79.7191,0.0,0
84,0.1,168169,0.24,2.96,0.0045,0.0032,64.0338,0.0,0
85,0.1,170171,0.23,3.2,0.0424,0.0032,82.1527,0.0,0
86,0.1,172173,0.27,3.27,0.0012,0.0009,84.0672,0.0,0
87,0.1,174175,0.24,3.2,0.0184,0.0042,78.2072,0.0,0
88,0.1,176177,0.11,2.97,0.0057,0.0022,82.5019,0.0,0
89,0.1,178179,0.05,3.12,0.0008,0.0047,84.3638,0.0,0
